task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	cd/80e3b6	37168345	prepare_initial (prepare_initial)	COMPLETED	0	2025-09-21 17:28:07.498	1m 3s	31.5s	20.9%	309.2 MB	1020.8 MB	41.4 MB	8.8 MB
2	1d/164d74	37168350	prepare_generalized (prepare_generalized)	COMPLETED	0	2025-09-21 17:29:11.311	1m 25s	1m 4s	3.4%	83.2 MB	694.5 MB	34 MB	16 KB
6	71/08d86d	37168433	factorize_worker (factorize_k25_worker0)	COMPLETED	0	2025-09-21 17:30:37.463	2m 43s	2m 22s	97.7%	231.1 MB	990.7 MB	36.4 MB	3.4 MB
4	db/17acb2	37168434	factorize_worker (factorize_k15_worker0)	COMPLETED	0	2025-09-21 17:30:37.605	2m 43s	2m 21s	97.7%	233 MB	990.7 MB	36.4 MB	3.4 MB
9	30/93b775	37168437	factorize_worker (factorize_k15_worker1)	COMPLETED	0	2025-09-21 17:30:43.153	2m 48s	2m 29s	96.1%	230.9 MB	990 MB	36.4 MB	3.4 MB
8	a2/ca0c3c	37168438	factorize_worker (factorize_k10_worker1)	COMPLETED	0	2025-09-21 17:30:43.268	2m 48s	2m 30s	96.6%	231.8 MB	991.1 MB	36.4 MB	3.4 MB
7	bc/cc53ff	37168439	factorize_worker (factorize_k30_worker0)	COMPLETED	0	2025-09-21 17:30:43.385	2m 58s	2m 41s	96.8%	232.2 MB	989.7 MB	36.4 MB	3.4 MB
10	33/21155a	37168441	factorize_worker (factorize_k20_worker1)	COMPLETED	0	2025-09-21 17:30:43.662	3m 17s	2m 34s	94.5%	233 MB	990.4 MB	36.4 MB	3.4 MB
5	25/da9b23	37168436	factorize_worker (factorize_k20_worker0)	COMPLETED	0	2025-09-21 17:30:42.966	3m 33s	2m 42s	97.4%	230.7 MB	990.9 MB	36.4 MB	3.4 MB
13	4e/f6794b	37168443	factorize_worker (factorize_k10_worker2)	COMPLETED	0	2025-09-21 17:30:43.967	4m 42s	1m 57s	97.5%	230.9 MB	990.3 MB	36.4 MB	3.4 MB
14	1f/2f712a	37168444	factorize_worker (factorize_k15_worker2)	COMPLETED	0	2025-09-21 17:30:44.157	4m 42s	1m 57s	97.5%	230.9 MB	990.3 MB	36.4 MB	3.4 MB
3	6e/d37747	37168435	factorize_worker (factorize_k10_worker0)	COMPLETED	0	2025-09-21 17:30:42.830	5m 28s	5m 8s	51.2%	230.3 MB	989.7 MB	36.4 MB	3.4 MB
17	a3/4fbd42	37168446	factorize_worker (factorize_k30_worker2)	COMPLETED	0	2025-09-21 17:30:44.493	5m 26s	2m 13s	97.3%	233.1 MB	990.5 MB	36.4 MB	3.4 MB
